regime,estimator,analytic,simulated,simulated_mcse,deviation_pct
A,M1 naive,0.564,0.5546,0.0048,1.7
A,M2 dCt,0.2025,0.199,0.0017,1.77
A,M3 partial,0.2042,0.2009,0.0018,1.66
B,M1 naive,0.3769,0.375,0.0031,0.51
B,M2 dCt,0.3028,0.2993,0.0024,1.17
B,M3 partial,0.268,0.2654,0.0023,0.97
C,M1 naive,0.1933,0.1936,0.0018,-0.14
C,M2 dCt,0.2025,0.2039,0.0016,-0.66
C,M3 partial,0.1846,0.1863,0.0017,-0.92
D,M1 naive,0.1933,0.1922,0.0015,0.56
D,M2 dCt,0.4957,0.4988,0.0039,-0.64
D,M3 partial,0.1951,0.1947,0.0016,0.22
E,M1 naive,0.564,0.5593,0.0047,0.85
E,M2 dCt,0.4957,0.4941,0.0045,0.31
E,M3 partial,0.4113,0.4114,0.0038,-0.04
