scenario,regime,studies,M1,M1_mcse,M2,M2_mcse,M3,M3_mcse,M4,M4_mcse,M2_vs_M1_pct,M2_vs_M1_pct_mcse,M3_vs_M1_pct,M3_vs_M1_pct_mcse
baseline,A,100,0.5581,0.0064,0.2067,0.0026,0.2093,0.0026,0.2141,0.0027,-62.9605,0.5808,-62.5025,0.5672
baseline,B,100,0.3711,0.0040,0.3031,0.0034,0.2660,0.0029,0.2733,0.0031,-18.3228,1.3066,-28.3175,0.8251
baseline,D,100,0.1923,0.0022,0.4895,0.0049,0.1947,0.0023,0.1990,0.0024,154.6244,3.7729,1.2754,0.3008
control efficiency 90%,A,100,0.5491,0.0064,0.2119,0.0025,0.2009,0.0023,0.2057,0.0024,-61.4061,0.6304,-63.4008,0.5298
control efficiency 90%,B,100,0.3710,0.0041,0.3212,0.0038,0.2652,0.0029,0.2716,0.0030,-13.4402,1.4941,-28.5152,0.8971
control efficiency 90%,D,100,0.1912,0.0020,0.5261,0.0065,0.1944,0.0022,0.1984,0.0024,175.0955,3.9857,1.6314,0.2965
control efficiency 80%,A,100,0.5528,0.0063,0.2398,0.0029,0.2029,0.0026,0.2076,0.0029,-56.6136,0.7455,-63.3033,0.5760
control efficiency 80%,B,100,0.3742,0.0041,0.3424,0.0035,0.2646,0.0028,0.2704,0.0030,-8.5030,1.3331,-29.2909,0.7819
control efficiency 80%,D,100,0.1949,0.0023,0.5491,0.0057,0.1975,0.0023,0.2034,0.0024,181.8116,4.1902,1.3796,0.2612
heavy-tailed errors (t3),A,100,0.5920,0.0230,0.1892,0.0039,0.1928,0.0040,0.2339,0.0200,-68.0492,1.3407,-67.4409,1.3503
heavy-tailed errors (t3),B,100,0.3511,0.0079,0.2782,0.0073,0.2504,0.0052,0.2620,0.0062,-20.7556,2.6081,-28.6852,1.6132
heavy-tailed errors (t3),D,100,0.1837,0.0052,0.4812,0.0158,0.1872,0.0054,0.1941,0.0057,161.9866,10.7142,1.9257,0.2844
batch effect (rho = 0.5),A,100,0.5693,0.0068,0.2661,0.0044,0.2663,0.0043,0.2733,0.0046,-53.2630,0.9050,-53.2244,0.8580
batch effect (rho = 0.5),B,100,0.4012,0.0052,0.3454,0.0045,0.3049,0.0045,0.3114,0.0047,-13.9015,1.4871,-24.0017,0.9466
batch effect (rho = 0.5),D,100,0.2562,0.0052,0.5220,0.0058,0.2565,0.0049,0.2602,0.0049,103.7250,4.4179,0.1294,0.4569
batch effect (rho = 0),A,100,0.5782,0.0063,0.3212,0.0065,0.3184,0.0064,0.3271,0.0066,-44.4544,1.0760,-44.9354,1.0058
batch effect (rho = 0),B,100,0.4108,0.0053,0.3783,0.0063,0.3351,0.0057,0.3433,0.0058,-7.9144,1.5547,-18.4336,1.0483
batch effect (rho = 0),D,100,0.2690,0.0052,0.5325,0.0062,0.2709,0.0053,0.2789,0.0055,97.9710,4.1242,0.7251,0.2764
spike-in amount varies,A,100,0.5574,0.0070,0.2530,0.0030,0.2506,0.0031,0.2556,0.0032,-54.6203,0.7764,-55.0370,0.7245
spike-in amount varies,B,100,0.3673,0.0039,0.3363,0.0042,0.2802,0.0030,0.2861,0.0031,-8.4494,1.5356,-23.7130,0.8567
spike-in amount varies,D,100,0.1905,0.0024,0.5110,0.0055,0.1931,0.0024,0.1972,0.0025,168.1772,4.4071,1.3341,0.2808
censoring at Ct = 38,A,100,0.5656,0.0066,0.2022,0.0024,0.2043,0.0024,0.2100,0.0026,-64.2486,0.5556,-63.8703,0.5506
censoring at Ct = 38,B,100,0.3667,0.0042,0.2982,0.0036,0.2646,0.0031,0.2704,0.0034,-18.6653,1.2455,-27.8317,0.8369
censoring at Ct = 38,D,100,0.1917,0.0022,0.4878,0.0059,0.1944,0.0023,0.1990,0.0025,154.5413,4.2773,1.4133,0.2462
