regime,n,M1 naive,M1 naive_mcse,M2 dCt,M2 dCt_mcse,M3 partial,M3 partial_mcse,M4 interaction,M4 interaction_mcse
favourable,15,0.5163,0.0092,0.2404,0.0043,0.2504,0.0046,0.2868,0.0084
favourable,20,0.5000,0.0070,0.2361,0.0039,0.2379,0.0041,0.2559,0.0055
favourable,30,0.4923,0.0059,0.2335,0.0025,0.2353,0.0025,0.2441,0.0028
favourable,40,0.4947,0.0056,0.2316,0.0024,0.2292,0.0024,0.2353,0.0026
favourable,60,0.4924,0.0043,0.2279,0.0019,0.2255,0.0019,0.2280,0.0020
favourable,100,0.4833,0.0028,0.2263,0.0016,0.2230,0.0016,0.2247,0.0016
favourable,200,0.4810,0.0021,0.2248,0.0010,0.2207,0.0011,0.2213,0.0010
intermediate,15,0.4014,0.0069,0.3124,0.0060,0.2927,0.0062,0.3336,0.0082
intermediate,20,0.3957,0.0061,0.3136,0.0047,0.2888,0.0047,0.3111,0.0059
intermediate,30,0.3808,0.0042,0.2998,0.0036,0.2696,0.0031,0.2804,0.0035
intermediate,40,0.3744,0.0039,0.3082,0.0031,0.2734,0.0030,0.2794,0.0031
intermediate,60,0.3748,0.0029,0.2998,0.0025,0.2622,0.0020,0.2653,0.0021
intermediate,100,0.3742,0.0024,0.2968,0.0020,0.2634,0.0016,0.2651,0.0017
intermediate,200,0.3653,0.0017,0.2936,0.0013,0.2568,0.0011,0.2575,0.0011
marginal,15,0.3483,0.0060,0.3567,0.0059,0.2968,0.0053,0.3409,0.0075
marginal,20,0.3527,0.0055,0.3485,0.0057,0.2892,0.0048,0.3076,0.0055
marginal,30,0.3369,0.0043,0.3367,0.0039,0.2777,0.0036,0.2878,0.0037
marginal,40,0.3350,0.0041,0.3358,0.0035,0.2683,0.0034,0.2755,0.0037
marginal,60,0.3270,0.0027,0.3315,0.0029,0.2656,0.0024,0.2701,0.0025
marginal,100,0.3351,0.0020,0.3327,0.0021,0.2675,0.0016,0.2693,0.0016
marginal,200,0.3296,0.0014,0.3367,0.0015,0.2671,0.0012,0.2680,0.0012
