regime,n,M2_vs_M3_pct,M2_vs_M3_pct_mcse,resolved
favourable,15,-3.98,0.761,True
favourable,20,-0.753,0.698,False
favourable,30,-0.741,0.501,False
favourable,40,1.059,0.363,True
favourable,60,1.058,0.27,True
favourable,100,1.474,0.192,True
favourable,200,1.891,0.157,True
intermediate,15,6.715,1.362,True
intermediate,20,8.563,1.2,True
intermediate,30,11.182,1.011,True
intermediate,40,12.727,0.843,True
intermediate,60,14.346,0.676,True
intermediate,100,12.663,0.473,True
intermediate,200,14.363,0.363,True
marginal,15,20.187,1.805,True
marginal,20,20.528,1.802,True
marginal,30,21.248,1.322,True
marginal,40,25.167,1.512,True
marginal,60,24.778,0.925,True
marginal,100,24.373,0.656,True
marginal,200,26.036,0.561,True
