source,assay_and_matrix,as_reported,total_sd_log10,min_log10,max_log10
"Hennechart-Collette [22]","MNV-1, bottled water","0.45-0.89 cycles","0.14-0.27",0.1355,0.2681
"Hennechart-Collette [22]","MNV-1, semi-dried tomato","0.98-1.30 cycles","0.30-0.39",0.2952,0.3916
"Hennechart-Collette [22]","MNV-1, lettuce","2.15-2.67 cycles","0.65-0.80",0.6476,0.8042
"Hennechart-Collette [22]","Mengovirus, bottled water","0.66-0.67 cycles","0.20",0.1988,0.2018
"Hennechart-Collette [22]","Mengovirus, semi-dried tomato","0.85-1.37 cycles","0.26-0.41",0.2560,0.4127
"Hennechart-Collette [22]","Mengovirus, lettuce","0.41-0.55 cycles","0.12-0.17",0.1235,0.1657
"Lowther [16]","ISO 15216 trial, repeatability","r = 0.28-0.74 log10","0.10-0.26",0.1000,0.2643
"Lowther [16]","ISO 15216 trial, reproducibility","sR = 0.40-0.50 log10","0.40-0.50",0.4000,0.5000
"Raymond [17]","Dates, two protocol variants","39 +- 11%, 44 +- 4%","0.04-0.12",0.0394,0.1202
"Raymond [21]","Leafy greens, MNV","28 +- 29%","0.37",0.3708,0.3708
"Uhrbrand [19]","Shellfish, vMC0","1.8 +- 2.4%","0.44",0.4390,0.4390
